AL	Alabama	Ala.		Ala
AK	Alas.	Alaska		Alaska
AZ	Arizona	Ariz.		Ariz
AR	Arkansas	Ark.		Ark
CA	California	Calif.	Cal.	Calif
CO	Colorado	Colo.		Colo
CT	Connecticut	Conn.		Conn
DE	Delaware	Del.		Del
DC	District of Columbia	D.C.	D. C.	D. C
FL	Florida	Fla.		Fla
GA	Georgia	Ga.		Ga
HI	Hawaii	Hawaii	H.I.	Oahu
ID	Idaho	Idaho		Idaho
IL	Illinois	Ill.		Ill
IN	Indiana	Ind.		Ind
IA	Iowa	Ia.		Iowa
KS	Kansas	Kans.	Kan.	Kans
KY	Kentucky	Ky.		Ky
LA	Louisiana	La.		La
ME	Maine	Maine	Me.	Maine
MD	Maryland	Md.		Md
MA	Massachusetts	Mass.		Mass
MI	Michigan	Mich.		Mich
MN	Minnesota	Minn.		Minn
MS	Mississippi	Miss.		Miss
MO	Missouri	Mo.		Mo
MT	Montana	Mont.		Mont
NE	Nebraska	Neb.	Nebr.	Neb
NV	Nevada	Nev.		Nev
NH	New Hampshire	N.H.	N. H.	N. H
NJ	New Jersey	N.J.	N. J.	N. J
NM	New Mexico	N.Mex.	N. M.	N.M.
NY	New York	N.Y.	N. Y.	N. Y
NC	North Carolina	N.C.	N. C.	N. C
ND	North Dakota	N.Dak.	N.D.	N. D.
OH	Ohio	Ohio	O.
OK	Oklahoma	Okla.		Okla
OR	Oregon	Ore.	Oreg.	Or.	
PA	Pennsylvania	Pa.		Pa
RI	Rhode Island	R.I.	R. I.	R. I
SC	South Carolina	S.C.	S. C.	S. C
SD	South Dakota	S.Dak.	S.D.	S. D.
TN	Tennessee	Tenn.		Tenn
TX	Texas	Tex.	Texas	Tex
UT	Utah	Utah
VT	Vermont	Vt.		Vt
VA	Virginia	Va.		Va
WA	Washington	Wash.		Wash
WV	West Virginia	W.Va.	W. Va.	W. Va
WI	Wisconsin	Wis.	Wisc.	Wisc
WY	Wyoming	Wyo.		Wyo
AB 	Alberta 	Alb.		Alb
BC 	British Columbia
MB 	Manitoba
NB 	New Brunswick
NL 	Newfoundland and Labrador
NS 	Nova Scotia
NT 	Northwest Territories
NU 	Nunavut
ON 	Ontario 	Ont.		Ont
PE 	Prince Edward Island
QC 	Quebec
SK 	Saskatchewan 	Sas.	Sask.	Sask
YT 	Yukon
